timestamp,thumb,index,middle,ring,pinky,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16
0,1.0,1.0,1.0,1.0,1.0,-2.5310152,-0.41641125,2.2695796,-0.62794787,15.079564,-4.492036,-31.956259,15.50835,3.1631663,1.7729099,-1.11995e-08,-1.0560943,1.1150174,1.1035056,-1.11995e-08,1.2565295
9,1.0,1.0,1.0,1.0,1.0,-1.0848019,-1.3274446,2.9143724,-5.3373866,0.40668344,0.88879675,6.9544587,-19.287596,4.387044,6.569247,1.9107224e-08,0.15336597,-0.13731681,-0.12709843,1.9107224e-08,-0.034890763
18,1.0,1.0,1.0,1.0,1.0,1.1061904,0.051351245,-1.0084934,0.54414403,-26.789692,6.9829946,3.5985496,-18.691383,-2.1048384,-2.496858,-3.0502985e-08,0.2035014,-0.31041053,-0.30473766,-3.0502985e-08,-0.26481298
25,1.0,1.0,1.0,1.0,1.0,2.1856887,0.73530453,-2.0862756,5.569568,26.083578,-0.7917224,1.8817701,14.510316,-1.7887679,-7.536969,1.9107224e-08,-1.9320555,1.7474047,1.7903001,1.9107224e-08,1.8472811
32,1.0,1.0,1.0,1.0,1.0,1.2772651,-0.07095722,-0.7760807,6.6476583,7.8607497,-4.7741694,1.3894149,18.238924,1.787562,-0.73182386,-3.0502985e-08,0.026265008,-0.06714992,-0.10533059,-3.0502985e-08,-0.18286577
40,1.0,1.0,1.0,1.0,1.0,0.3680365,0.8615043,1.0026903,4.2421875,-24.768854,1.1030843,7.5712485,-5.789434,0.23586194,3.6724536,-1.11995e-08,2.3384354,-2.300368,-2.3707762,-1.11995e-08,-2.5242789
48,1.0,1.0,1.0,1.0,1.0,-1.1217006,1.544608,2.4915,-0.9539869,4.3210597,2.2208047,-14.600422,-0.7466316,-0.45167625,3.2458863,1.9107224e-08,1.1379368,-1.2025102,-1.1777068,1.9107224e-08,-1.2546235
56,1.0,1.0,1.0,1.0,1.0,-4.655346,-0.5179896,-0.15108277,0.37756756,26.910107,-3.6162884,-19.320675,8.806401,3.8440373,-0.41321453,-3.0502985e-08,-0.1575816,0.07576905,0.11767193,-3.0502985e-08,0.08266552
64,1.0,1.0,1.0,1.0,1.0,0.6869754,-0.8864779,-3.199032,2.7256477,26.516571,-1.3288413,7.8300195,7.9891686,-1.1776444,-7.8433695,1.9107224e-08,-0.29892346,0.34192562,0.35857612,1.9107224e-08,0.3709016
72,1.0,1.0,1.0,1.0,1.0,4.518758,-1.8071222,-1.0567626,-2.0778184,-66.20576,2.1593592,26.620138,-35.836254,-7.83796,-6.4448266,-3.0502985e-08,-1.0654279,1.1448745,1.1402274,-3.0502985e-08,1.2516246
81,1.0,1.0,1.0,1.0,1.0,-0.3385527,-0.70540446,3.1722388,-7.0699897,-48.09865,0.21267162,-3.1785653,-14.410277,0.1425948,4.7828393,-1.11995e-08,-1.8471367,1.8453139,1.8654952,-1.11995e-08,1.9528711
88,1.0,1.0,1.0,1.0,1.0,-2.523714,2.3066592,3.9412434,-5.3660855,88.1826,2.5358338,-43.85984,49.07777,6.852884,7.5836644,1.9107224e-08,-0.5542703,0.50874174,0.5627016,1.9107224e-08,0.49708351
96,1.0,1.0,1.0,1.0,1.0,-3.229419,3.6373336,-0.2680347,2.1046832,56.71993,-1.8630745,25.212185,-7.5443587,-0.78266275,-0.8172262,-3.0502985e-08,0.494447,-0.57963014,-0.5742332,-3.0502985e-08,-0.6401271
104,1.0,1.0,1.0,1.0,1.0,-7.572551,2.888428,-1.7710652,6.3822823,-44.338043,-9.790742,17.35788,-16.320084,-5.971508,-1.414988,1.9107224e-08,1.9351919,-2.0780928,-2.1014318,1.9107224e-08,-2.1090987
112,1.0,1.0,1.0,1.0,1.0,23.372711,-10.80423,1.5289788,-5.404937,-45.156628,10.671631,-38.594566,19.251158,1.9748915,4.25262,-3.0502985e-08,3.5330791,-3.5178971,-3.5320454,-3.0502985e-08,-3.5979335
120,1.0,1.0,1.0,1.0,1.0,6.226844,-6.13925,-1.5652933,-7.479597,-18.109388,10.565751,-5.323626,-9.308032,7.0928607,3.41578,-1.11995e-08,0.13383508,0.07546402,0.027052056,-1.11995e-08,0.048021954
129,1.0,1.0,1.0,1.0,1.0,-44.16171,14.362,-6.060722,5.283025,8.720152,-12.520421,18.26314,-15.169243,-1.7797048,-4.6386695,1.9107224e-08,-2.7612057,2.9886289,2.9153063,1.9107224e-08,3.056002
137,1.0,1.0,1.0,1.0,1.0,0.027448414,6.6428413,-2.8885133,7.159466,0.0533674,-4.9772935,23.200191,11.136682,-7.224735,-9.059634,-3.0502985e-08,-0.7450518,0.8219705,0.8019695,-3.0502985e-08,0.8506879
145,1.0,1.0,1.0,1.0,1.0,30.79191,-10.421007,0.33952838,-1.4462587,-17.256607,6.3369336,10.362213,-20.241991,5.716467,-1.7242639,1.9107224e-08,-0.6464001,0.6337922,0.67423767,1.9107224e-08,0.62394375
153,1.0,1.0,1.0,1.0,1.0,-40.42247,12.730968,1.0593765,-0.72006845,30.607065,-7.89044,-4.7401824,-18.811918,-1.714916,1.6443732,-3.0502985e-08,-0.36226037,0.41446978,0.48066074,-3.0502985e-08,0.42331854
161,1.0,1.0,1.0,1.0,1.0,67.38256,-17.57347,5.4091396,5.390305,-2.795889,3.1570606,0.77615315,18.960142,-2.0171022,1.2197431,-1.11995e-08,1.3384427,-1.2730892,-1.2366121,-1.11995e-08,-1.2554541
169,1.0,1.0,1.0,1.0,1.0,160.15794,-65.29759,8.651858,3.0595167,-46.49146,23.830967,-5.541842,20.429865,13.961696,4.1026344,1.9107224e-08,1.7067313,-1.7212135,-1.7560729,1.9107224e-08,-1.7232255
177,1.0,1.0,1.0,1.0,1.0,-88.869675,9.673929,-0.3058375,-0.7179121,-7.265215,-6.042617,11.717639,-8.781655,-1.6457055,2.6368432,-3.0502985e-08,-0.35398543,0.14412357,0.08810002,-3.0502985e-08,0.1479512
185,1.0,0.72375697,1.0,1.0,1.0,-166.92108,79.76943,-7.246859,-5.075421,-8.360579,-28.761435,20.308609,-13.973158,-22.74545,-6.3207316,1.9107224e-08,-1.436015,1.0427847,1.0010978,1.9107224e-08,1.0177165
193,1.0,0.44148847,1.0,1.0,1.0,-28.470434,14.418454,-1.7364581,-3.6072125,66.54245,-2.0863907,-38.01343,19.341156,-0.19758071,-0.20287511,-3.0502985e-08,-1.0624412,0.8305262,0.82849497,-3.0502985e-08,0.8539581
201,1.0,0.49712276,1.0,1.0,1.0,8.343187,-12.895314,-0.56669235,2.4239216,31.230701,11.67911,-19.202673,12.323662,9.317146,4.269445,-1.11995e-08,-0.7687596,0.696091,0.705649,-1.11995e-08,0.72735304
209,1.0,0.27664757,1.0,1.0,1.0,9.09916,11.190093,-2.07154,2.9556303,-78.62921,0.7037276,39.563534,-14.06712,-5.9220166,-3.7928195,1.9107224e-08,0.72475314,-0.67895395,-0.67451304,1.9107224e-08,-0.7075007
217,1.0,0.0,1.0,1.0,1.0,32.13475,-21.365456,0.9708813,1.5865744,6.8632917,0.17195776,-1.8867823,4.801988,2.344889,-1.6092166,-3.0502985e-08,1.9100732,-1.6102524,-1.5180986,-3.0502985e-08,-1.5740781
225,1.0,0.0,1.0,1.0,1.0,-17.442307,4.095278,-0.164834,-4.407621,48.972797,2.2623773,-20.338507,0.9411744,5.4203744,4.2117357,1.9107224e-08,2.1113255,-1.7940048,-1.6861652,1.9107224e-08,-1.8044673
233,1.0,0.0,1.0,1.0,1.0,20.99171,-1.7980126,0.44167125,-6.882516,-3.7432652,0.5634835,7.9931426,-25.646465,1.8383553,6.155147,-3.0502985e-08,1.4388132,-1.2179861,-1.2592711,-3.0502985e-08,-1.3731916
241,1.0,0.0,1.0,1.0,1.0,145.78394,-81.84758,3.1436539,0.44435623,-24.583666,14.118799,5.775609,-3.9435158,3.9842143,2.076508,-1.11995e-08,-0.07097827,0.16053157,0.09649236,-1.11995e-08,0.08183584
249,1.0,0.0,1.0,1.0,1.0,63.19228,-49.22865,1.8271397,5.374005,-17.281807,10.091053,-1.8409891,20.251093,1.0989201,-3.5125191,1.9107224e-08,-1.3448389,1.2249168,1.23934,1.9107224e-08,1.313203
257,1.0,0.0,1.0,1.0,1.0,-172.39151,96.54718,-2.303987,0.59790874,7.1145253,-32.930256,24.914225,-10.258609,-7.9151826,-1.6621461,-3.0502985e-08,-1.9048389,1.7972988,1.7855202,-3.0502985e-08,1.8602979
265,1.0,0.0,1.0,1.0,1.0,-87.0171,40.19835,-0.35926148,2.08152,29.729286,-13.240959,7.1346774,3.878152,-2.6701026,1.9000912,1.9107224e-08,-0.76588327,0.82371384,0.7992242,1.9107224e-08,0.8420871
273,1.0,0.0,1.0,1.0,1.0,8.386957,-7.3128705,-1.1827002,10.416545,9.7911005,21.586946,-38.76812,32.012657,9.324313,-5.9221144,-3.0502985e-08,-0.96706825,0.8166689,0.7962114,-3.0502985e-08,0.8584119
281,1.0,0.0,1.0,1.0,1.0,-27.008196,25.560038,-2.890122,6.0348964,8.969691,3.6065366,-16.751354,9.763493,-2.5861318,-8.871538,-1.11995e-08,-1.457261,1.2595553,1.2809362,-1.11995e-08,1.3206155
289,1.0,0.0,1.0,1.0,1.0,3.8206625,-11.21066,1.5384996,-6.693614,34.517513,-16.689333,3.417191,-14.664986,-11.276729,6.7485585,1.9107224e-08,0.47376636,-0.42520905,-0.37339756,1.9107224e-08,-0.4271161
297,1.0,0.0,1.0,1.0,1.0,27.428293,-11.42509,2.6419957,-12.91609,-12.920189,-10.278569,-7.5680485,-28.189907,3.8284824,14.58648,-3.0502985e-08,2.33489,-2.2771566,-2.297961,-3.0502985e-08,-2.3742793
305,1.0,0.0,1.0,1.0,1.0,-3.7790864,5.208918,-1.4831977,2.3878965,-36.459293,9.586086,40.43753,-15.674374,3.7728875,-4.0607653,1.9107224e-08,1.9442357,-1.9187073,-1.9317479,1.9107224e-08,-1.9303241
313,1.0,0.0,1.0,1.0,1.0,30.447355,-22.613327,-0.56211966,5.493887,15.356296,23.558325,-10.297285,31.076794,-4.168538,-6.8774524,-3.0502985e-08,-0.3306414,0.35505107,0.32998613,-3.0502985e-08,0.3172671
321,1.0,0.0,1.0,1.0,1.0,28.64332,-6.385713,0.8958592,-7.3029695,12.919189,4.6106396,-52.26207,35.620625,2.0270212,5.3841915,-1.11995e-08,-0.10577369,0.21234603,0.20009218,-1.11995e-08,0.17546172
329,1.0,0.0,1.0,1.0,1.0,-65.90932,41.428066,-1.2307987,-5.6752663,5.323474,-28.331902,4.897816,-5.4484286,9.967003,6.8496294,1.9107224e-08,1.559819,-1.4206035,-1.3641024,1.9107224e-08,-1.3565912
337,1.0,0.0,1.0,1.0,1.0,-29.50942,3.1831827,2.010477,-8.219422,7.040778,-22.46347,30.053978,-55.98067,5.9475136,-0.430242,-3.0502985e-08,-0.23560283,0.23282708,0.22608174,-3.0502985e-08,0.24635784
345,1.0,0.0,1.0,1.0,1.0,32.832806,-26.04131,5.0220375,-8.901742,-8.639114,4.814707,11.4441595,-37.526302,2.6460536,-5.63842,1.9107224e-08,-2.9737213,2.8936582,2.7945116,1.9107224e-08,2.8629136
353,1.0,0.0,1.0,1.0,1.0,71.29723,-10.91059,-2.5425332,21.281889,-19.139225,33.545654,-11.041299,59.70728,-8.420384,-5.346114,-3.0502985e-08,-1.1336608,1.0405815,1.0289803,-3.0502985e-08,1.0332309
361,1.0,0.0,1.0,1.0,1.0,22.017605,-1.2510153,-3.6063292,15.964903,-6.793546,11.939299,-8.978881,33.33019,-10.187384,0.07207138,-1.11995e-08,0.29776123,-0.3955032,-0.33081058,-1.11995e-08,-0.40011182
370,1.0,0.0,1.0,1.0,1.0,-111.5134,42.90444,-0.48213544,-6.0498805,40.806587,-25.452717,-12.788755,-28.298313,0.77309036,7.816193,1.9107224e-08,0.16339155,-0.27485386,-0.22675978,1.9107224e-08,-0.29490384
378,1.0,0.0,1.0,1.0,1.0,-25.628788,20.814735,-2.0387783,8.871289,7.9834104,5.995213,-18.82566,22.484499,-1.0640477,2.6453586,-3.0502985e-08,1.9626769,-2.0935087,-2.0258996,-3.0502985e-08,-2.04419
386,1.0,0.0,1.0,1.0,1.0,60.059135,-35.87652,3.9443235,-8.949725,2.2324266,4.8617887,-33.845905,9.553749,0.5663364,-4.7265086,1.9107224e-08,0.81161773,-0.8315282,-0.8656019,1.9107224e-08,-0.8316147
394,1.0,0.0,1.0,1.0,1.0,-37.332844,27.192232,-0.90308785,-12.523411,0.8624138,-12.572491,8.3651705,-17.57688,1.6039617,2.7673128,-3.0502985e-08,0.31127322,-0.19343008,-0.25328296,-3.0502985e-08,-0.22567917
401,1.0,0.0,1.0,1.0,1.0,6.592106,-10.686026,-5.004539,6.7299905,-16.314255,10.129692,47.365562,-10.824311,1.7813323,-4.266323,-1.11995e-08,-0.2692082,0.40450215,0.37503803,-1.11995e-08,0.43629375
410,1.0,0.0,1.0,1.0,1.0,126.63016,-99.27573,3.1673055,1.0266314,-1.5794456,26.658707,15.070824,-18.31522,8.596468,-15.798703,1.9107224e-08,-2.0747633,2.1996295,2.1488981,1.9107224e-08,2.1874573
418,1.0,0.0,1.0,1.0,1.0,74.019135,-19.024351,8.248309,-16.117132,-61.633675,2.8517935,11.324549,-36.001205,8.542696,-1.27041,-3.0502985e-08,-0.66969866,0.77204365,0.7778857,-3.0502985e-08,0.72966754
425,1.0,0.0,1.0,1.0,1.0,-80.443184,102.88306,2.9629269,-4.865587,-54.139584,-15.5915985,-22.319271,17.135803,-12.49756,42.315216,1.9107224e-08,0.92253006,-0.9029037,-0.90136755,1.9107224e-08,-0.9402663
434,1.0,0.0,1.0,1.0,1.0,-47.41727,26.485443,-6.6934214,18.687546,54.56409,-0.8514877,-29.944738,39.65495,-14.151242,20.175,-3.0502985e-08,0.5168183,-0.49337253,-0.49997306,-3.0502985e-08,-0.5249968
442,1.0,0.0,1.0,1.0,1.0,-14.193851,-28.200825,-8.123538,24.039902,92.709076,-15.580937,-3.4291546,42.168655,-0.09003141,-35.272762,-1.11995e-08,0.90337783,-0.9982332,-0.9517333,-1.11995e-08,-0.96781766
450,1.0,0.0,1.0,1.0,1.0,-22.654188,-0.8840559,-1.7361256,5.1817594,4.991028,-10.425482,-1.641298,30.118786,5.3030796,-22.518179,1.9107224e-08,1.2450567,-1.467816,-1.372399,1.9107224e-08,-1.3817774
458,1.0,0.0,1.0,1.0,1.0,77.377205,-57.02515,3.7647276,-25.081455,-85.329384,30.626669,16.403944,-66.27216,12.03027,-0.35970023,-3.0502985e-08,-0.46960565,0.3808537,0.47135136,-3.0502985e-08,0.46467444
465,1.0,0.0,1.0,1.0,1.0,42.898476,11.549979,-1.2075957,-0.91298157,-36.202126,30.47439,46.05161,-32.308792,1.3438184,-17.734304,1.9107224e-08,-0.60172206,0.63375974,0.64969593,1.9107224e-08,0.6681256
474,1.0,0.0,1.0,1.0,1.0,-20.607244,30.046497,0.7294368,10.086286,18.330011,-0.78339,5.8664494,-1.344104,-6.6847134,7.1494083,-3.0502985e-08,0.18228461,-0.032140188,-0.09630712,-3.0502985e-08,-0.09127979
482,1.0,0.0,1.0,1.0,1.0,-3.2683818,-33.345562,6.8261085,-11.972822,27.073896,-28.200493,-36.101738,-8.998051,-0.19165945,17.37925,-1.11995e-08,-0.544647,0.59956765,0.49848372,-1.11995e-08,0.581405
