timestamp,thumb,index,middle,ring,pinky,ch_1_raw,ch_1_ema_1,ch_1_ema_2,ch_1_ema_4,ch_1_ema_8,ch_1_ema_16,ch_1_ema_32,ch_1_ema_64,ch_1_ema_128,ch_2_raw,ch_2_ema_1,ch_2_ema_2,ch_2_ema_4,ch_2_ema_8,ch_2_ema_16,ch_2_ema_32,ch_2_ema_64,ch_2_ema_128,ch_3_raw,ch_3_ema_1,ch_3_ema_2,ch_3_ema_4,ch_3_ema_8,ch_3_ema_16,ch_3_ema_32,ch_3_ema_64,ch_3_ema_128,ch_4_raw,ch_4_ema_1,ch_4_ema_2,ch_4_ema_4,ch_4_ema_8,ch_4_ema_16,ch_4_ema_32,ch_4_ema_64,ch_4_ema_128,ch_5_raw,ch_5_ema_1,ch_5_ema_2,ch_5_ema_4,ch_5_ema_8,ch_5_ema_16,ch_5_ema_32,ch_5_ema_64,ch_5_ema_128,ch_6_raw,ch_6_ema_1,ch_6_ema_2,ch_6_ema_4,ch_6_ema_8,ch_6_ema_16,ch_6_ema_32,ch_6_ema_64,ch_6_ema_128,ch_7_raw,ch_7_ema_1,ch_7_ema_2,ch_7_ema_4,ch_7_ema_8,ch_7_ema_16,ch_7_ema_32,ch_7_ema_64,ch_7_ema_128,ch_8_raw,ch_8_ema_1,ch_8_ema_2,ch_8_ema_4,ch_8_ema_8,ch_8_ema_16,ch_8_ema_32,ch_8_ema_64,ch_8_ema_128
50,0.6208847,0.9416969,0.69352376,0.9435276,0.9544328,6.736995,6.736995,11.550968,18.174921,20.063948,16.456556,10.88673,6.317594,3.4109163,-3.1385393,3.1385393,3.4824116,3.047925,2.5808005,1.9929695,1.3148229,0.76722413,0.4160509,-4.68369,4.68369,9.231852,10.357872,10.208234,8.47665,5.7679443,3.4119356,1.8619916,7.4166346,7.4166346,5.3978195,4.3518157,3.768155,2.8614142,1.8383924,1.0531073,0.56509835,-2.1427455,2.1427455,5.7404823,6.4117274,5.9788523,4.6981797,3.0892696,1.7942857,0.97007847,15.619292,15.619292,19.904463,19.721409,16.96136,12.297793,7.6552353,4.3103514,2.2925272,-2.5641258,2.5641258,6.1610045,7.3156395,7.056803,5.4968405,3.5588393,2.044948,1.0988804,-10.274748,10.274748,12.856477,13.165922,11.758079,8.663532,5.416371,3.0521421,1.6233244
61,0.62106127,0.9417606,0.6946908,0.94290054,0.95188814,-27.536587,27.536587,22.53838,20.686598,20.51008,17.405167,12.01826,7.1708894,3.9318926,-5.061337,5.061337,4.245609,3.6449938,3.062761,2.3733711,1.5911428,0.94148386,0.5149952,-4.795859,4.795859,10.710381,12.653547,12.286838,10.194124,7.0427,4.2233796,2.324648,-9.974863,9.974863,8.028243,6.397461,5.101697,3.7649527,2.4263167,1.4007024,0.75583786,2.3965967,2.3965967,5.1198683,6.3819118,6.3927627,5.287045,3.6103625,2.1463854,1.175499,-15.308757,15.308757,18.234943,19.506111,18.187244,14.092954,9.173683,5.3009343,2.8589168,9.15806,9.15806,10.77977,10.605882,9.407264,7.220732,4.717761,2.7382689,1.4811014,10.696705,10.696705,10.908382,11.555063,11.316761,9.100567,6.029767,3.5115418,1.9005449
70,0.61584777,0.9409685,0.6945187,0.94038886,0.95461416,21.487562,21.487562,17.869356,17.807034,18.713947,17.368555,12.939157,8.092414,4.5533166,-1.7478331,1.7478331,1.860975,2.0925035,2.2776613,2.1093578,1.576106,0.9905207,0.5592964,7.7015204,7.7015204,8.713763,9.702375,10.509579,9.797523,7.3637013,4.6432085,2.6262817,-5.1631823,5.1631823,5.7492747,5.6355886,5.1323934,4.148529,2.848828,1.7092248,0.94209445,4.2319303,4.2319303,3.3202043,3.5049894,4.308486,4.3630767,3.3823795,2.1555507,1.2240045,-2.5889895,2.5889895,3.548554,6.593406,10.151484,10.615637,8.1124935,5.0914025,2.863317,6.766609,6.766609,7.968602,8.871079,8.993445,7.6931205,5.412191,3.2809143,1.8168607,7.923438,7.923438,7.8312483,8.117259,8.916254,8.306413,6.101314,3.769059,2.1047173
79,0.61899143,0.9415297,0.6949311,0.94254535,0.9528416,1.761193,1.761193,4.095901,8.126201,12.440383,14.166797,11.764915,7.781923,4.5048375,4.295258,4.295258,3.7750704,3.2325783,2.8805165,2.4767852,1.8317367,1.1572487,0.65709054,-10.269499,10.269499,9.741083,9.681334,10.138189,9.735953,7.6141534,4.936399,2.8370218,6.938158,6.938158,5.484072,5.0414867,4.8175697,4.1487646,2.9907932,1.8486426,1.0357759,-2.2278173,2.2278173,1.8954517,2.197558,3.1335828,3.678261,3.1304255,2.0990367,1.2237236,-0.6904289,0.6904289,1.3306508,3.1639657,6.664735,8.568387,7.3227744,4.86804,2.8186245,-0.35782945,0.35782945,3.730521,6.151814,7.547328,7.2491527,5.4655323,3.4429328,1.9455425,-1.1470628,1.1470628,2.1069179,3.890875,6.0158525,6.8223968,5.574634,3.6393318,2.090169
89,0.625267,0.9439376,0.6974738,0.94167274,0.95229816,-0.7607039,0.7607039,3.9253483,6.429876,9.999353,12.50316,11.187326,7.7314625,4.5815535,-0.64406466,0.64406466,2.055159,2.724191,2.8239176,2.5675762,1.9645303,1.2688375,0.72971684,-35.276783,35.276783,26.602552,19.758535,15.52965,12.665461,9.370179,5.9914513,3.434194,2.472095,2.472095,2.393776,2.9510543,3.5697532,3.5845444,2.8240204,1.8309958,1.0516015,-14.695476,14.695476,11.889816,8.702117,6.6252403,5.471819,4.135337,2.676618,1.5431919,-5.4863014,5.4863014,5.0785747,4.7085943,6.241191,7.91108,7.120755,4.9127502,2.9044116,10.967474,10.967474,8.59369,7.5385847,7.677636,7.339347,5.710076,3.6882052,2.1153092,5.2719054,5.2719054,4.8664274,4.7166166,5.6800933,6.453898,5.525265,3.7310305,2.1843662
97,0.6255821,0.9420938,0.69963807,0.94119114,0.955445,33.312214,33.312214,22.953197,15.973257,13.691965,13.797676,11.970442,8.329447,4.9782767,-1.8401915,1.8401915,2.942245,3.322853,3.2738605,2.910137,2.2261405,1.4481483,0.8379381,28.754269,28.754269,39.85009,37.757496,29.570225,21.523228,14.552549,8.891847,4.991773,-8.06097,8.06097,5.909983,4.5783978,4.1608286,3.8652225,3.049812,2.0043206,1.1627698,5.751925,5.751925,10.332516,11.024486,9.312474,7.354996,5.3241644,3.3861535,1.9404622,6.827464,6.827464,6.0329943,5.41651,6.0060225,7.3907638,6.932525,4.9482255,2.983892,-11.171708,11.171708,9.485347,8.351876,7.9691877,7.5340967,5.993376,3.9537735,2.2977967,-1.7815033,1.7815033,2.604237,3.356506,4.5132155,5.6433854,5.208193,3.6773171,2.2049382
105,0.62689745,0.943176,0.6975934,0.94386685,0.9545996,-29.681067,29.681067,25.595924,21.141645,17.412735,15.756018,13.197044,9.175267,5.509071,5.481732,5.481732,4.9838967,4.471612,3.9783626,3.3788795,2.5535452,1.6636068,0.966002,41.934246,41.934246,34.490124,32.641068,28.845016,22.674131,15.923124,9.92601,5.632996,14.238686,14.238686,13.288149,10.733847,8.122663,6.1507235,4.3585043,2.74225,1.5633558,0.9362066,0.9362066,2.4404097,5.0649695,6.361241,6.148492,4.9263024,3.2994623,1.9411709,-17.388096,17.388096,16.062014,13.00877,10.452553,9.574621,8.144963,5.693336,3.422648,22.113792,22.113792,16.313595,12.410703,10.137262,8.708839,6.76164,4.4640326,2.605469,10.923778,10.923778,9.030912,7.15361,6.292527,6.360345,5.631876,3.9864228,2.4066737
114,0.63079315,0.9437572,0.6935211,0.94216835,0.9523099,-2.9159126,2.9159126,6.790699,11.48345,13.72139,14.359119,12.945822,9.423322,5.8089156,0.8907369,0.8907369,0.8709287,1.464248,2.1923609,2.5066912,2.2172549,1.5670377,0.94847757,-27.957047,27.957047,22.382969,20.929596,21.741325,20.04572,15.543387,10.238326,5.982837,-10.456542,10.456542,9.793665,9.093269,8.048333,6.6110563,4.884456,3.15361,1.8256326,-3.8905036,3.8905036,3.6354594,3.8356078,4.7870197,5.2664285,4.6484404,3.2983336,2.002457,11.810532,11.810532,13.937992,13.751557,12.169219,10.798188,9.036437,6.373205,3.8729072,4.311609,4.311609,9.493305,10.929489,10.439814,9.324612,7.422757,5.0127354,2.9705133,-3.8860316,3.8860316,3.6682153,4.005623,4.526444,5.265736,5.1504097,3.8796191,2.4238265
122,0.61461335,0.9438963,0.6958324,0.94258493,0.95406634,-11.638047,11.638047,10.0222645,11.54529,13.258425,14.038993,12.866563,9.491467,5.8992896,0.6024127,0.6024127,0.691918,1.1195139,1.8390391,2.2826583,2.1193855,1.5373569,0.94311225,-40.02605,40.02605,34.145023,28.568178,25.804598,22.396347,17.027185,11.154872,6.5106387,5.0553865,5.0553865,6.6348124,7.478116,7.383234,6.428036,4.8948154,3.2121263,1.8757063,-4.5002503,4.5002503,4.2119865,4.1014647,4.7232933,5.17629,4.639459,3.3353157,2.0411823,17.675833,17.675833,16.429886,15.321268,13.392912,11.607323,9.560037,6.7209783,4.086906,-7.5240436,7.5240436,8.180464,9.567311,9.791864,9.11278,7.428896,5.0900064,3.0411105,-21.14639,21.14639,15.320333,10.86193,8.219766,7.1340485,6.119863,4.4109044,2.7140987
130,0.61430067,0.9405965,0.7007963,0.94091713,0.9551206,-5.955907,5.955907,8.25557,9.223095,10.749893,12.2799835,12.094507,9.386085,6.0089436,0.69743645,0.69743645,1.8038654,2.323937,2.5035784,2.6062663,2.3431163,1.7114944,1.0606989,23.286684,23.286684,20.270308,21.223133,22.397852,21.512434,17.48479,11.926358,7.119813,7.329522,7.329522,6.3204985,6.456978,6.7788334,6.391009,5.1440997,3.4952748,2.0823522,2.8542435,2.8542435,3.9996486,4.3055243,4.5843873,4.9601865,4.61426,3.4389768,2.1535034,-11.021213,11.021213,16.418173,18.451738,17.2464,14.643293,11.620778,8.066753,4.899505,2.5461628,2.5461628,5.0480876,7.6957726,9.126876,9.158069,7.804794,5.5127344,3.3555338,-2.3503325,2.3503325,7.7678323,10.396359,10.00268,8.72235,7.2120495,5.1484575,3.1725013
