timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
32,12070.501,-6589.652,4382.7075,4700.7285,-2902.1953,2917.2603,1493.7448,-6223.2397
35,12102.71,-6576.263,4432.217,4680.031,-2903.201,2932.6382,1522.1761,-6232.382
40,12107.113,-6599.71,4410.9824,4703.0083,-2887.6443,2925.195,1531.8992,-6259.3154
44,12115.115,-6622.5312,4345.2017,4744.8506,-2921.3284,2886.1467,1529.3958,-6226.235
48,12096.652,-6588.065,4358.322,4715.458,-2935.544,2903.134,1507.7593,-6203.593
52,12106.8,-6554.9395,4409.8203,4671.09,-2931.096,2918.7803,1513.526,-6254.5767
56,12082.079,-6580.5547,4416.0786,4698.5156,-2919.8977,2906.9114,1522.1315,-6258.958
61,12088.293,-6621.8384,4380.249,4740.7827,-2904.6091,2896.2498,1514.8447,-6223.1504
65,12108.924,-6617.279,4349.94,4726.3657,-2913.8406,2901.547,1501.9254,-6211.5723
68,12094.306,-6572.7095,4407.7417,4682.981,-2900.7424,2933.957,1512.1179,-6266.066
72,12085.61,-6561.4663,4421.734,4696.459,-2909.2583,2917.1038,1526.1995,-6252.275
76,12104.543,-6561.3994,4379.668,4712.843,-2949.402,2876.133,1522.5562,-6240.272
80,12102.039,-6597.542,4349.9624,4736.491,-2939.2097,2872.6016,1508.1393,-6217.9424
84,12080.022,-6578.029,4429.4004,4689.0605,-2859.5928,2904.8997,1512.3414,-6263.227
88,12077.542,-6570.2505,4441.046,4692.19,-2851.4568,2901.3682,1523.1597,-6271.0947
92,12092.964,-6588.7354,4396.387,4725.8516,-2877.9436,2858.5198,1517.1246,-6257.751
96,12096.451,-6608.0474,4351.572,4746.4155,-2905.6597,2828.2556,1503.6241,-6216.5117
100,12108.745,-6563.6123,4418.2915,4684.3,-2898.3955,2877.2507,1515.18,-6261.014
104,12048.216,-6566.9873,4440.9565,4678.7563,-2886.1914,2875.7532,1527.2723,-6282.092
108,12087.556,-6557.0854,4394.4424,4707.702,-2923.541,2850.9426,1516.5435,-6269.5303
112,12107.582,-6575.369,4325.733,4756.3394,-2957.5159,2837.9563,1513.7719,-6246.016
116,12103.939,-6562.9194,4393.079,4696.7275,-2934.6277,2862.2302,1519.0469,-6300.0625
120,12099.647,-6547.34,4453.4956,4682.3774,-2916.1426,2868.8464,1535.1848,-6291.927
124,12107.918,-6559.857,4416.7495,4706.674,-2924.2563,2842.2031,1522.9137,-6258.4883
128,12126.492,-6583.952,4337.155,4748.606,-2942.6743,2802.9087,1504.0713,-6234.818
132,12123.005,-6548.6143,4378.617,4695.9673,-2953.0007,2824.3887,1504.2948,-6276.124
136,12054.743,-6536.745,4454.5464,4689.0386,-2902.0835,2852.932,1519.6057,-6315.91
140,12078.659,-6553.3975,4425.936,4714.7427,-2887.7336,2841.868,1527.9429,-6316.9604
144,12092.428,-6579.7056,4349.8506,4765.6826,-2911.3594,2797.7231,1515.8506,-6305.3154
148,12081.207,-6557.5547,4364.737,4735.664,-2903.8716,2814.3975,1504.496,-6289.2446
152,12080.872,-6510.6606,4428.2383,4680.925,-2896.719,2839.5657,1516.7,-6261.953
156,12116.277,-6511.421,4443.281,4704.6177,-2955.4817,2811.6929,1533.4637,-6276.951
160,12118.959,-6570.474,4392.207,4745.1187,-2900.2954,2774.9915,1526.5795,-6249.2124
164,12085.454,-6566.0933,4379.1763,4740.0674,-2899.1777,2805.7698,1509.2568,-6249.9277
168,12071.976,-6528.9893,4450.4336,4687.5186,-2895.3108,2826.1099,1514.6884,-6293.849
172,12073.362,-6528.542,4451.842,4700.125,-2907.3137,2794.8398,1521.6844,-6296.7993
176,12111.963,-6552.794,4394.9565,4740.425,-2924.9045,2785.6755,1519.0245,-6254.599
180,12116.054,-6563.1875,4371.241,4749.947,-2929.1514,2780.1995,1513.3695,-6232.717
184,12129.196,-6525.7705,4447.0137,4683.0703,-2915.2932,2813.4812,1522.6232,-6289.714
188,12027.876,-6532.2974,4452.043,4687.876,-2899.4011,2809.1897,1518.1305,-6322.571
192,12059.348,-6557.823,4406.937,4730.255,-2932.1465,2772.801,1508.8322,-6269.7983
196,12092.383,-6546.4907,4358.1655,4745.812,-2988.473,2755.8806,1507.2004,-6220.7363
200,12089.433,-6510.3257,4422.583,4678.3765,-2972.7373,2785.6084,1515.4259,-6290.742
204,12086.326,-6547.385,4448.422,4681.014,-2901.167,2806.3955,1536.973,-6307.3047
208,12101.011,-6576.7324,4419.521,4706.0703,-2888.7842,2806.0156,1529.2616,-6268.748
212,12118.602,-6613.0767,4358.6797,4738.9272,-2915.4722,2785.4744,1514.7777,-6232.806
216,12124.436,-6550.9834,4387.312,4682.8916,-2907.895,2830.5132,1525.7301,-6282.092
220,12141.557,-6539.2266,4447.841,4654.1694,-2897.5237,2848.0369,1547.3889,-6293.916
224,12125.844,-6561.757,4458.1895,4681.394,-2907.895,2841.3762,1544.0138,-6296.196
228,12043.522,-6607.3994,4373.141,4742.504,-2924.994,2813.9282,1503.5125,-6232.471
232,12115.138,-6576.643,4409.3955,4696.6157,-2918.5566,2844.5054,1506.4852,-6256.164
236,12101.994,-6546.2896,4461.9224,4665.4126,-2904.855,2867.7512,1531.7203,-6293.7593
240,12089.947,-6563.2544,4437.6704,4688.234,-2910.8901,2846.4724,1536.3472,-6287.8584
244,12110.086,-6599.844,4363.8203,4735.6865,-2928.2573,2808.7202,1522.1985,-6259.6284
248,12101.525,-6579.8394,4370.772,4706.227,-2922.2,2829.5745,1506.8206,-6263.093
252,12093.725,-6535.427,4429.0874,4663.535,-2924.5469,2851.8367,1527.4288,-6348.924
256,12089.768,-6555.9233,4414.3354,4678.1978,-2917.8862,2824.4336,1535.699,-6308.9365
260,12100.229,-6602.281,4336.976,4723.505,-2900.273,2804.004,1524.1207,-6224.581
264,12107.18,-6599.3975,4338.563,4716.1733,-2905.9727,2805.7473,1512.8778,-6203.324
268,12140.148,-6556.5938,4429.6465,4664.675,-2884.962,2847.7688,1537.3082,-6273.397
272,12093.456,-6557.0854,4418.1353,4682.288,-2884.1125,2837.174,1540.281,-6281.846
276,12101.101,-6578.923,4357.2715,4723.035,-2912.0747,2801.8806,1520.6786,-6245.6807
280,12153.225,-6600.1123,4322.4697,4731.596,-2939.3884,2785.9214,1514.6212,-6221.496
284,12110.756,-6562.74,4397.259,4672.029,-2894.0144,2828.1663,1528.5017,-6278.873
288,12072.714,-6562.6284,4406.155,4680.88,-2890.237,2822.31,1535.9225,-6289.0435
292,12071.976,-6592.222,4352.98,4711.837,-2909.4148,2787.4414,1525.1266,-6257.505
296,12077.631,-6614.261,4298.598,4729.92,-2926.3574,2766.699,1507.6028,-6220.647
300,12159.282,-6552.906,4363.396,4661.4785,-2927.095,2807.6921,1532.1897,-6266.1772
304,12131.499,-6527.738,4398.667,4673.884,-2913.304,2822.0195,1544.282,-6295.771
308,12118.222,-6559.4995,4373.6553,4709.49,-2892.271,2809.7483,1544.8632,-6264.9927
312,12101.347,-6598.816,4310.087,4742.727,-2933.4207,2774.3655,1521.3715,-6197.692
316,12104.744,-6565.959,4371.3306,4687.2056,-2902.061,2804.764,1522.0868,-6253.638
320,12114.601,-6550.0,4407.0264,4672.1626,-2870.9922,2823.137,1549.7582,-6278.0684
324,12129.688,-6563.5674,4352.3096,4680.0527,-2884.0232,2810.4636,1549.9594,-6245.279
328,12148.486,-6605.5215,4302.3755,4735.284,-2902.2622,2789.073,1529.7087,-6213.919
332,12163.283,-6581.3594,4360.7134,4694.291,-2885.2974,2820.5442,1533.9108,-6279.03
336,12102.844,-6560.9746,4413.9106,4668.341,-2865.5159,2837.1963,1551.3004,-6288.4844
340,12103.827,-6571.234,4380.6064,4695.297,-2879.2622,2818.443,1556.4414,-6232.918
344,12124.682,-6608.8745,4314.2666,4737.5195,-2896.2498,2791.3977,1547.1654,-6240.6294
348,12125.866,-6591.5967,4296.452,4704.2153,-2886.8618,2811.492,1530.1558,-6231.2417
352,12129.309,-6550.2236,4371.733,4657.9023,-2870.3887,2836.6821,1539.1635,-6211.7285
356,12096.652,-6565.2437,4404.009,4677.6836,-2875.0603,2831.9883,1537.2189,-6252.811
360,12097.1,-6613.121,4319.05,4721.873,-2894.1487,2800.9194,1523.4949,-6223.3066
364,12127.185,-6607.4663,4301.124,4715.503,-2891.5334,2805.1663,1524.7913,-6204.7993
368,12121.284,-6554.783,4379.109,4668.542,-2872.9592,2846.964,1542.1139,-6266.066
372,12078.078,-6557.9126,4377.9243,4678.1753,-2889.4546,2824.7688,1546.0702,-6243.1777
376,12103.805,-6587.864,4318.0664,4713.3345,-2893.858,2789.6318,1539.1188,-6208.175
380,12127.207,-6601.655,4277.6323,4724.2646,-2903.067,2793.7,1530.5356,-6190.0923
384,12117.238,-6574.922,4335.635,4662.82,-2859.2576,2834.8047,1536.079,-6248.028
388,12112.164,-6572.955,4371.733,4675.292,-2857.6482,2841.3538,1552.5745,-6255.18
392,12077.676,-6582.7676,4332.7515,4712.7314,-2855.5247,2826.1992,1546.5619,-6222.86
396,12091.311,-6593.608,4267.395,4732.915,-2862.722,2807.446,1523.8302,-6187.4995
400,12090.305,-6556.2583,4339.2783,4671.023,-2895.7578,2839.342,1529.7311,-6238.238
404,12107.717,-6571.122,4363.0156,4673.1465,-2864.9795,2836.6152,1551.1887,-6252.029
408,12125.553,-6586.992,4315.4736,4703.5444,-2846.8076,2820.1418,1547.3666,-6226.548
412,12140.261,-6616.273,4253.5146,4739.2183,-2868.69,2802.9534,1532.212,-6181.0396
416,12125.33,-6558.203,4316.569,4680.388,-2871.3945,2842.0913,1528.2559,-6229.4087
420,12096.071,-6543.0483,4355.3716,4670.4863,-2863.0127,2863.482,1547.5901,-6259.5835
424,12145.334,-6573.7153,4321.3296,4698.024,-2853.8484,2841.756,1553.0886,-6250.375
428,12114.422,-6607.3096,4247.2563,4742.504,-2877.9436,2805.3674,1527.764,-6180.95
432,12127.855,-6576.7773,4287.355,4692.704,-2868.0642,2834.4023,1524.7689,-6226.9053
436,12128.347,-6547.385,4334.5176,4652.0015,-2853.2449,2855.3235,1544.1926,-6235.958
440,12075.999,-6560.7285,4292.608,4669.5923,-2868.556,2835.3857,1537.6659,-6235.4883
444,12113.305,-6597.6313,4245.5127,4742.392,-2891.6228,2809.078,1523.3608,-6183.6323
448,12122.111,-6585.7627,4258.8345,4701.2646,-2868.1536,2825.2605,1518.287,-6201.022
452,12110.175,-6551.654,4323.118,4660.741,-2835.6094,2866.3655,1540.1693,-6245.7925
456,12092.36,-6553.5093,4302.912,4682.1094,-2861.2244,2844.483,1543.2986,-6243.289
460,12121.753,-6591.798,4232.057,4727.662,-2869.3828,2812.8777,1535.5648,-6223.374
464,12129.241,-6601.4985,4220.5234,4720.778,-2833.5754,2840.482,1528.9264,-6200.575
468,12124.279,-6553.5093,4296.877,4662.976,-2823.1147,2874.5015,1543.8573,-6246.016
472,12126.581,-6563.6343,4275.442,4674.0625,-2824.1206,2861.269,1550.9205,-6226.8833
476,12115.629,-6589.16,4199.133,4718.811,-2842.1807,2830.7815,1535.0061,-6198.2954
480,12104.408,-6599.5537,4168.7793,4725.7847,-2845.3994,2824.7463,1519.0022,-6180.011
484,12129.241,-6558.7173,4233.532,4668.2515,-2821.6172,2868.7124,1539.8788,-6244.988
488,12132.46,-6560.215,4234.806,4673.4814,-2818.309,2863.169,1556.7543,-6269.6196
492,12126.917,-6593.116,4179.7983,4701.4434,-2842.1584,2825.7747,1531.7427,-6220.848
496,12137.266,-6603.2866,4129.3506,4725.561,-2894.238,2801.9924,1512.7213,-6167.204
500,12098.105,-6549.419,4194.7964,4676.119,-2831.1167,2869.6287,1528.904,-6218.278
504,12099.021,-6555.476,4218.7354,4672.2744,-2819.0466,2867.6394,1534.8943,-6236.338
508,12154.097,-6569.021,4178.6587,4702.092,-2839.029,2841.1526,1539.3646,-6203.0786
512,12143.412,-6594.2114,4099.109,4732.781,-2853.893,2814.621,1519.6057,-6159.962
516,12126.224,-6554.895,4165.918,4672.297,-2828.6355,2856.9106,1514.8447,-6216.378
520,12082.481,-6529.414,4214.645,4667.603,-2831.2507,2874.8142,1524.1431,-6249.4136
