timestamp,thumb,index,middle,ring,pinky
25485464,0,1,1,1,1
25490469,0,0,1,0,0
25495474,0,1,0,0,0
25500479,1,1,0,1,1
25505484,1,1,0,0,0
25510489,0,0,0,1,1
25515493,0,1,0,1,1
25520496,1,0,0,0,0
25525500,1,0,0,1,1
25530503,0,0,1,1,1
25535507,0,1,1,1,1
25540511,1,0,1,0,0
25545515,1,1,0,1,1
25550520,0,1,0,0,0
25555525,0,1,1,0,0
25560529,1,0,0,0,0
25565534,0,0,0,0,0
25570539,1,0,1,1,1
25575544,1,1,1,0,0
25580548,0,0,1,0,0
25585553,0,1,0,1,1
25590557,1,0,0,1,1
25595562,1,1,1,1,1
25600566,0,0,0,1,1
25605571,1,1,0,0,0
25610576,0,1,1,0,0
25615581,0,0,1,0,0
25620586,0,0,0,1,1
25625591,1,0,0,1,1
25630595,1,1,0,0,0
25635600,0,0,1,1,1
25640604,0,1,1,1,1
25645609,0,1,0,0,0
25650613,1,1,1,1,1
25655617,1,1,0,1,1
25660622,1,0,1,1,1
25665626,0,1,0,1,1
25670631,1,0,1,0,0
25675635,0,0,0,0,0
25680640,1,1,1,0,0
25685644,1,0,0,0,0
25690649,1,0,1,0,0
25695654,1,0,0,1,1
