timestamp,thumb,index,middle,ring,pinky
199246111,0,0,1,0,0
199251115,1,1,1,0,0
199256119,0,1,1,0,0
199261125,1,0,1,0,0
199266130,1,0,1,1,1
199271134,0,1,0,1,1
199276138,1,0,0,0,0
199281141,0,1,0,0,0
199286144,0,0,1,1,1
199291149,0,0,0,0,0
199296153,1,0,0,1,1
199301158,0,0,0,1,1
199306161,0,1,1,1,1
199311164,1,1,0,1,1
199316168,1,1,1,1,1
199321172,1,0,1,0,0
199326175,1,0,0,0,0
199331179,0,0,0,1,1
199336183,0,1,1,0,0
199341187,0,1,0,0,0
199346190,1,0,0,1,1
199351194,0,0,0,0,0
199356198,0,1,1,1,1
199361202,1,1,1,0,0
199366205,1,1,1,1,1
199371208,1,1,0,0,0
199376211,0,0,1,1,1
199381215,0,0,1,0,0
