timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
69,254.07228,664.1597,-7408.575,2001.8223,-597.14923,-1771.2416,7597.6934,-194.46017
77,274.23355,711.85834,-7407.4575,2187.8782,-624.8877,-1828.3057,7609.1147,-226.44553
78,274.23355,711.85834,-7407.4575,2187.8782,-624.8877,-1828.3057,7609.1147,-226.44553
82,298.7087,643.6408,-7434.9946,1999.4305,-641.0927,-1783.8257,7622.7046,-179.03748
87,244.841,729.9186,-7374.2207,2169.8625,-595.53986,-1829.5127,7624.3813,-250.5854
90,244.841,729.9186,-7374.2207,2169.8625,-595.53986,-1829.5127,7624.3813,-250.5854
93,271.48428,733.0925,-7401.0425,2182.5808,-585.99567,-1846.7012,7613.049,-240.61653
97,308.0294,656.0684,-7409.648,2031.8406,-618.0481,-1799.539,7604.153,-200.78572
102,235.00624,727.83984,-7373.8184,2143.4875,-581.0783,-1836.6652,7615.597,-224.34445
106,235.00624,727.83984,-7373.8184,2143.4875,-581.0783,-1836.6652,7615.597,-224.34445
110,248.79727,757.3442,-7416.2417,2195.433,-588.7673,-1842.8342,7616.111,-231.69818
114,279.03918,697.5532,-7449.367,2059.1099,-619.8139,-1812.8606,7607.774,-183.99956
117,290.41623,616.1929,-7406.809,1906.425,-608.9509,-1771.6439,7607.4834,-167.1687
122,251.36772,750.16925,-7367.515,2205.1113,-593.01416,-1855.6418,7606.5444,-246.29387
126,251.36772,750.16925,-7367.515,2205.1113,-593.01416,-1855.6418,7606.5444,-246.29387
130,279.12857,715.837,-7477.016,2095.476,-606.20166,-1827.9257,7615.038,-173.58365
133,300.07217,626.3629,-7452.2056,1904.8604,-610.1803,-1777.2766,7574.6934,-149.68964
137,244.77396,700.7719,-7385.6646,2053.9019,-589.72845,-1809.4631,7594.9214,-208.69824
142,277.34045,742.6367,-7427.5293,2122.745,-608.2804,-1834.6982,7621.6094,-210.1958
146,277.34045,742.6367,-7427.5293,2122.745,-608.2804,-1834.6982,7621.6094,-210.1958
150,305.32483,650.39105,-7434.6597,1912.7505,-615.5447,-1782.0375,7602.8564,-155.41168
154,247.00912,703.6553,-7400.2603,2004.795,-593.70703,-1798.3767,7598.0283,-185.00539
158,275.7311,743.91077,-7397.109,2154.2388,-584.3193,-1842.2979,7605.606,-216.81192
162,275.7311,743.91077,-7397.109,2154.2388,-584.3193,-1842.2979,7605.606,-216.81192
166,315.56192,665.99255,-7433.1846,1930.7213,-635.8401,-1785.5021,7594.9663,-174.2542
170,264.82346,683.1587,-7401.8696,1953.5201,-604.7041,-1782.9316,7596.084,-182.77022
174,253.87111,763.6921,-7404.7754,2173.0142,-571.26587,-1853.9431,7599.4365,-228.47954
178,253.87111,763.6921,-7404.7754,2173.0142,-571.26587,-1853.9431,7599.4365,-228.47954
182,314.84668,676.78845,-7413.716,1972.899,-592.76825,-1803.4281,7576.705,-186.03357
186,305.2354,644.5796,-7353.59,1913.2646,-596.3669,-1776.2261,7578.9624,-200.74101
190,245.28804,767.626,-7362.5083,2167.203,-565.36505,-1841.605,7618.0557,-273.40652
194,243.07523,784.2333,-7414.163,2191.0745,-578.8208,-1854.2336,7607.8857,-230.15591
198,297.47937,649.4746,-7418.79,1880.0052,-600.41254,-1772.4039,7594.81,-178.97041
202,297.47937,649.4746,-7418.79,1880.0052,-600.41254,-1772.4039,7594.81,-178.97041
206,231.25114,755.9807,-7359.848,2131.0823,-565.34265,-1828.1938,7599.3247,-248.03731
210,293.54547,720.0838,-7412.71,2058.9534,-588.09674,-1837.7157,7595.7935,-242.27055
214,293.54547,720.0838,-7412.71,2058.9534,-588.09674,-1837.7157,7595.7935,-242.27055
218,305.14603,643.015,-7417.7617,1875.8254,-628.57574,-1739.5916,7582.0244,-175.84117
222,245.17628,740.3792,-7380.926,2078.1086,-568.65076,-1816.7721,7579.3423,-244.841
226,304.8331,729.96326,-7360.34,2101.4888,-575.0657,-1828.842,7592.91,-275.21704
230,304.8331,729.96326,-7360.34,2101.4888,-575.0657,-1828.842,7592.91,-275.21704
234,325.97784,651.084,-7425.92,1865.0966,-608.45917,-1773.9908,7598.677,-198.79642
238,245.93625,738.25574,-7437.342,2017.2673,-593.5282,-1795.0463,7609.5845,-213.14624
242,217.16956,814.0729,-7392.8843,2228.1113,-561.677,-1855.2172,7612.423,-272.51248
246,323.00507,650.9498,-7440.6274,1888.5659,-601.75366,-1777.2766,7591.0996,-191.84502
250,323.00507,650.9498,-7440.6274,1888.5659,-601.75366,-1777.2766,7591.0996,-191.84502
254,284.64948,694.66986,-7411.481,1960.2032,-590.64484,-1783.2445,7590.5405,-220.27644
258,254.63107,776.522,-7388.906,2177.6187,-560.17944,-1845.1812,7608.467,-270.43375
262,254.63107,776.522,-7388.906,2177.6187,-560.17944,-1845.1812,7608.467,-270.43375
266,316.81363,675.26855,-7445.2095,1935.46,-607.65454,-1783.3563,7594.0947,-207.5583
270,291.9138,667.11017,-7413.47,1911.6553,-630.56506,-1767.0619,7584.6396,-211.17928
274,226.95961,775.8067,-7350.997,2196.9307,-555.1279,-1844.7118,7602.4316,-295.423
278,259.9061,772.02924,-7369.057,2204.6418,-549.2941,-1854.7925,7609.607,-297.52408
282,298.10522,655.599,-7430.3906,1877.189,-600.23376,-1772.4263,7587.143,-201.27747
286,298.10522,655.599,-7430.3906,1877.189,-600.23376,-1772.4263,7587.143,-201.27747
290,222.19868,787.4296,-7386.2905,2172.679,-552.6916,-1835.4135,7603.6836,-286.4823
294,251.6583,802.7182,-7371.4487,2228.8042,-546.58954,-1856.67,7613.7417,-298.86517
298,317.97592,635.0354,-7430.547,1849.5175,-618.0928,-1788.5642,7573.7993,-198.86346
302,317.97592,635.0354,-7430.547,1849.5175,-618.0928,-1788.5642,7573.7993,-198.86346
306,235.65443,745.72125,-7365.213,2133.854,-567.9578,-1812.3241,7578.3813,-281.9002
