timestamp,thumb,index,middle,ring,pinky
4672,0.0,0.0,0.0,1.0,1.0
9674,0.0,0.0,1.0,1.0,1.0
14678,1.0,1.0,0.0,1.0,1.0
19683,1.0,0.0,1.0,1.0,1.0
24686,1.0,0.0,1.0,0.0,0.0
29690,1.0,1.0,1.0,1.0,1.0
34692,1.0,1.0,0.0,0.0,0.0
39694,0.0,1.0,0.0,1.0,1.0
44695,0.0,0.0,1.0,0.0,0.0
49696,0.0,0.0,0.0,1.0,1.0
54698,1.0,0.0,1.0,1.0,1.0
59701,0.0,1.0,1.0,0.0,0.0
64705,0.0,0.0,1.0,1.0,1.0
69708,0.0,1.0,1.0,1.0,1.0
74711,0.0,0.0,0.0,0.0,0.0
79714,1.0,1.0,0.0,1.0,1.0
84717,0.0,1.0,0.0,0.0,0.0
89721,1.0,0.0,0.0,1.0,1.0
94725,1.0,1.0,1.0,0.0,0.0
99730,1.0,0.0,0.0,0.0,0.0
104734,0.0,1.0,0.0,0.0,0.0
109737,1.0,0.0,1.0,1.0,1.0
114741,0.0,0.0,0.0,0.0,0.0
119745,1.0,0.0,0.0,0.0,0.0
124750,1.0,1.0,1.0,0.0,0.0
129754,1.0,1.0,1.0,1.0,1.0
134758,0.0,0.0,1.0,1.0,1.0
139762,1.0,0.0,0.0,1.0,1.0
144766,1.0,1.0,0.0,0.0,0.0
149770,0.0,0.0,0.0,1.0,1.0
154774,1.0,0.0,1.0,0.0,0.0
159778,0.0,1.0,1.0,0.0,0.0
164782,0.0,0.0,1.0,0.0,0.0
169786,0.0,1.0,0.0,1.0,1.0
174789,1.0,1.0,0.0,1.0,1.0
179793,0.0,1.0,1.0,1.0,1.0
184797,0.0,1.0,1.0,1.0,1.0
189800,0.0,0.0,1.0,1.0,1.0
194804,0.0,0.0,0.0,0.0,0.0
199808,1.0,1.0,0.0,1.0,1.0
204812,1.0,0.0,1.0,0.0,0.0
