timestamp,thumb,index,middle,ring,pinky
3846,0.0,0.0,1.0,1.0,1.0
8851,1.0,0.0,1.0,1.0,1.0
13854,1.0,1.0,1.0,1.0,1.0
18858,0.0,1.0,0.0,1.0,1.0
23863,0.0,0.0,0.0,0.0,0.0
28866,0.0,1.0,1.0,1.0,1.0
33868,1.0,1.0,1.0,0.0,0.0
38870,1.0,0.0,0.0,0.0,0.0
43872,0.0,0.0,1.0,0.0,0.0
48873,0.0,1.0,0.0,0.0,0.0
53875,1.0,0.0,1.0,0.0,0.0
58878,0.0,0.0,1.0,1.0,1.0
63880,1.0,1.0,1.0,0.0,0.0
68883,0.0,1.0,0.0,1.0,1.0
73886,1.0,1.0,0.0,1.0,1.0
78889,0.0,0.0,0.0,1.0,1.0
83891,0.0,0.0,0.0,0.0,0.0
88893,1.0,0.0,0.0,1.0,1.0
93896,1.0,0.0,1.0,1.0,1.0
98899,1.0,0.0,0.0,0.0,0.0
103903,1.0,1.0,0.0,0.0,0.0
108906,0.0,0.0,1.0,0.0,0.0
113910,1.0,1.0,1.0,1.0,1.0
118914,0.0,1.0,0.0,0.0,0.0
123918,0.0,1.0,1.0,1.0,1.0
128922,0.0,1.0,1.0,0.0,0.0
133926,0.0,1.0,1.0,1.0,1.0
138930,1.0,0.0,0.0,1.0,1.0
143933,0.0,1.0,0.0,0.0,0.0
148937,0.0,0.0,1.0,0.0,0.0
153941,1.0,1.0,1.0,0.0,0.0
158945,1.0,1.0,1.0,1.0,1.0
163949,1.0,0.0,1.0,0.0,0.0
168954,1.0,0.0,1.0,1.0,1.0
173958,1.0,0.0,0.0,0.0,0.0
178963,0.0,0.0,1.0,1.0,1.0
183968,0.0,1.0,0.0,1.0,1.0
188972,0.0,1.0,1.0,0.0,0.0
193976,0.0,0.0,0.0,0.0,0.0
198980,0.0,0.0,0.0,1.0,1.0
203984,1.0,1.0,0.0,0.0,0.0
208988,1.0,1.0,0.0,1.0,1.0
213992,0.0,1.0,1.0,0.0,0.0
218996,1.0,0.0,0.0,0.0,0.0
224000,0.0,0.0,1.0,0.0,0.0
229005,0.0,0.0,0.0,0.0,0.0
234008,0.0,1.0,0.0,0.0,0.0
239012,1.0,1.0,0.0,0.0,0.0
244016,1.0,0.0,1.0,0.0,0.0
249020,1.0,0.0,1.0,1.0,1.0
254024,0.0,0.0,1.0,1.0,1.0
259028,0.0,1.0,0.0,1.0,1.0
264032,1.0,1.0,1.0,0.0,0.0
269036,0.0,1.0,1.0,1.0,1.0
274040,1.0,0.0,0.0,1.0,1.0
279044,1.0,1.0,1.0,1.0,1.0
284047,0.0,0.0,0.0,1.0,1.0
289051,1.0,1.0,0.0,1.0,1.0
294055,1.0,0.0,1.0,0.0,0.0
299059,1.0,0.0,0.0,1.0,1.0
304063,0.0,1.0,0.0,0.0,0.0
309067,0.0,0.0,1.0,0.0,0.0
314072,1.0,1.0,0.0,0.0,0.0
319077,1.0,0.0,0.0,0.0,0.0
324081,1.0,1.0,1.0,0.0,0.0
329086,0.0,1.0,1.0,1.0,1.0
334091,1.0,1.0,1.0,1.0,1.0
339095,0.0,1.0,1.0,0.0,0.0
344100,0.0,0.0,1.0,1.0,1.0
349106,0.0,0.0,0.0,0.0,0.0
354112,0.0,1.0,0.0,1.0,1.0
359117,1.0,0.0,1.0,1.0,1.0
364123,0.0,0.0,0.0,1.0,1.0
369129,1.0,1.0,0.0,1.0,1.0
374135,1.0,0.0,1.0,0.0,0.0
379142,0.0,1.0,1.0,0.0,0.0
384148,0.0,0.0,0.0,1.0,1.0
389155,1.0,1.0,1.0,1.0,1.0
394162,1.0,1.0,0.0,1.0,1.0
399169,0.0,1.0,0.0,0.0,0.0
404177,1.0,0.0,0.0,1.0,1.0
409185,1.0,0.0,0.0,0.0,0.0
414192,1.0,1.0,0.0,0.0,0.0
419199,0.0,0.0,0.0,0.0,0.0
424206,0.0,1.0,1.0,1.0,1.0
429213,1.0,1.0,1.0,0.0,0.0
434221,0.0,1.0,0.0,1.0,1.0
439228,1.0,0.0,1.0,1.0,1.0
444236,0.0,0.0,1.0,1.0,1.0
449243,0.0,0.0,1.0,0.0,0.0
454251,1.0,0.0,0.0,0.0,0.0
459259,1.0,1.0,1.0,0.0,0.0
464267,0.0,1.0,1.0,0.0,0.0
469275,1.0,1.0,1.0,1.0,1.0
474282,0.0,0.0,0.0,0.0,0.0
479289,0.0,1.0,1.0,1.0,1.0
484296,1.0,1.0,0.0,1.0,1.0
489302,1.0,1.0,0.0,0.0,0.0
494309,0.0,1.0,0.0,0.0,0.0
499317,0.0,1.0,0.0,1.0,1.0
504324,1.0,0.0,0.0,1.0,1.0
509332,1.0,0.0,1.0,0.0,0.0
514339,0.0,0.0,1.0,0.0,0.0
519347,1.0,0.0,1.0,1.0,1.0
524354,0.0,0.0,1.0,1.0,1.0
529362,0.0,0.0,0.0,1.0,1.0
534369,1.0,0.0,1.0,1.0,1.0
539377,0.0,1.0,0.0,0.0,0.0
